learning_rate,batch_size,epochs,accuracy,precision,recall,f1_score
0.01,32,10,0.03473491773308958,0.03302195847220458,0.03473491773308958,0.021402801765115307
0.01,64,10,0.10068907326676979,0.10381630712542975,0.10068907326676979,0.09113599664323023
0.001,32,10,0.12853325833216145,0.15140392029875147,0.12853325833216145,0.1179414777362136
0.001,64,10,0.13528336380255943,0.16001924942831947,0.13528336380255943,0.12471759704296577
0.0001,32,10,0.1583462241597525,0.21331274990967447,0.1583462241597525,0.14494767780420403
0.0001,64,10,0.15047110111095485,0.21811878780447494,0.15047110111095485,0.13255911489179767
