model,accuracy,precision,recall,f1
LSTM,0.12375193362396288,0.14274850398054903,0.12375193362396288,0.10220208891179394
CNN+SVM,0.11489242019406554,0.11947228960004272,0.11489242019406554,0.09018302928270099
DistilBERT,0.3245675713683026,0.30118969445035443,0.3245675713683026,0.2966451153303493
